,Intenship_program_type,Age,Country,Region,Current_Ooccupation, Enrollment_In_Upskilling_Courses ,What is your preferred method of communication?WP/Insta/LinkedIn,Hours_Per_Week,communication_language_preferred,where_did_you_come_to_know_about_this_internship
32,Product Development,21,Brazil,Americas,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",15-20 hours,None  ,linkedin
33,Product Development,22,Brazil,Americas,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp",10-15 hours,None  ,linkedin
34,Product Design,33,Brazil,Americas,Currently Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp",10-15 hours,english  ,referral
35,Product Development,22,Brazil,Americas,University Student, No- I have not ,"WhatsApp,Email,LinkedIn",20-25 hours,english  ,linkedin
36,Product Development,18,Brazil,Americas,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,WhatsApp,15-20 hours,portuguese  ,referral
37,"Product Design,Product Development",21,Brazil,Americas,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",20-25 hours,english  ,linkedin
38,Product Development,19,Brazil,Americas,University Student, Yes- I have completed multiple such courses ,"WhatsApp,LinkedIn,Email",20-25 hours,"no,spanish,portuguese",linkedin
39,Product Development,25,Cameroun,Africa,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp",10-15 hours,french  ,referral
40,Product Marketing,24,CaNoda,Americas,Recently Graduated and Unemployed, No- I have not ,"Email,WhatsApp,LinkedIn,Instagram",20-25 hours,english  ,referral
41,Product Design,23,CaNoda,Americas,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Email,LinkedIn,Instagram",20-25 hours,russian  ,linkedin
42,"Product Design,Product Development",21,CaNoda,Americas,Recently Graduated and Unemployed, No- I have not ,"WhatsApp,Email",10-15 hours,None  ,indeed
43,Product Design,30,CaNoda,Americas,Employed, Yes- I have completed multiple such courses ,Email,10-15 hours,english  ,referral
44,"Product Design,Product Marketing",26,CaNoda,Americas,Currently Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",15-20 hours,english  ,linkedin
45,"Product Development,Product Growth ,Product Marketing",20,CaNoda,Americas,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn,Instagram",10-15 hours,english  ,linkedin
46,"Product Design,Product Development,Product Growth ",16,CaNoda,Americas,High School Student, Yes- I have completed multiple such courses ,"Email,WhatsApp",10-15 hours,english  ,referral
47,Product Design,34,CaNoda,Americas,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Email,LinkedIn",10-15 hours,english  ,linkedin
48,Product Design,38,CaNoda,Americas,Currently Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,Email,10-15 hours,japanese  ,linkedin
49,Product Design,36,CaNoda,Americas,University Student, No- I have not ,WhatsApp,15-20 hours,turkish  ,linkedin
50,"Product Design,Product Development",21,CaNoda,Americas,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"LinkedIn,WhatsApp,Email",20-25 hours,no  ,linkedin
51,Product Design,30,CaNoda,Americas,Recently Graduated and Unemployed, No- I have not ,WhatsApp,15-20 hours,english  ,referral
52,Product Design,23,CaNoda,Americas,Currently Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,Email,15-20 hours,english  ,linkedin
53,"Product Design,Product Development,Product Marketing",21,CaNoda,Americas,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",10-15 hours,"english,french ",linkedin
54,"Product Design,Product Development,Product Growth ",21,CaNoda,Americas,University Student, Yes- I have completed multiple such courses ,"Email,LinkedIn",10-15 hours,english  ,linkedin
55,Product Design,28,CaNoda,Americas,Employed, Yes- I have completed multiple such courses ,"Email,LinkedIn",15-20 hours,english  ,linkedin
56,"Product Marketing,Product Design,Product Development,Product Growth ",18,CaNoda,Americas,University Student, No- I have not ,"Email,LinkedIn",20-25 hours,english  ,linkedin
57,Product Design,39,CaNoda,Americas,Employed, Yes- I have completed multiple such courses ,Email,10-15 hours,english  ,linkedin
58,Product Design,31,CaNoda,Americas,Currently Unemployed, Yes- I have completed multiple such courses ,Email,10-15 hours,english  ,google
59,Product Design,27,CaNoda,Americas,Currently Unemployed, No- I have not ,Email,15-20 hours,japanese  ,referral
60,Product Design,24,CaNoda,Americas,Recently Graduated and Unemployed, No- I have not ,"Email,WhatsApp,LinkedIn",10-15 hours,no  ,linkedin
61,"Product Design,Product Marketing",22,CaNoda,Americas,Recently Graduated and Unemployed, No- I have not ,Email,10-15 hours,english  ,referral
62,"Product Marketing,Product Design",21,CaNoda,Americas,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,LinkedIn,Instagram",15-20 hours,english  ,linkedin
63,"Product Design,Product Development",19,CaNoda,Americas,University Student, Yes- I have completed multiple such courses ,Email,20-25 hours,english  ,referral
64,Product Development,21,CaNoda,Americas,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,Email,10-15 hours,english  ,referral
65,"Product Design,Product Development,Product Growth ",30,CaNoda,Americas,Currently Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,LinkedIn",10-15 hours,english  ,linkedin
66,Product Development,24,CaNoda,Americas,Recently Graduated and Unemployed, No- I have not ,Email,20-25 hours,english  ,linkedin
67,"Product Design,Product Development,Product Growth ",25,CaNoda,Americas,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,Email,15-20 hours,english  ,referral
68,"Product Design,Product Development",29,CaNoda,Americas,Currently Unemployed, No- I have not ,"Email,WhatsApp,LinkedIn,Instagram",15-20 hours,english  ,linkedin
69,Product Development,23,CaNoda,Americas,University Student, No- I have not ,"WhatsApp,Email",15-20 hours,english  ,referral
70,"Product Development,Product Design",22,CaNoda,Americas,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp",20-25 hours,english  ,linkedin
71,"Product Marketing,Product Design,Product Development,Product Growth ",22,CaNoda,Americas,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,Email,20-25 hours,english  ,referral
72,"Product Development,Product Growth ",23,CaNoda,Americas,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,Email,20-25 hours,english  ,linkedin
73,Product Development,24,CaNoda,Americas,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,LinkedIn",15-20 hours,None  ,linkedin
74,"Product Marketing,Product Design,Product Development,Product Growth ",21,CaNoda,Americas,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp",20-25 hours,english  ,linkedin
75,"Product Design,Product Development",29,CaNoda,Americas,Employed, Yes- I have completed multiple such courses ,"Email,WhatsApp",20-25 hours,spanish  ,referral
76,Product Development,25,CaNoda,Americas,Currently Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",20-25 hours,english  ,linkedin
77,"Product Design,Product Development,Product Growth ",26,CaNoda,Americas,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",15-20 hours,english  ,linkedin
78,Product Development,16,CaNoda,Americas,High School Student, Yes- I have completed multiple such courses ,Email,10-15 hours,english  ,referral
79,Product Design,21,Colombia,Americas,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"WhatsApp,Email",20-25 hours,"english,spanish ",linkedin
80,Product Marketing,23,Egypt,MENo,Recently Graduated and Unemployed, No- I have not ,WhatsApp,10-15 hours,arabic  ,linkedin
81,Product Design,23,Egypt,MENo,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Instagram,LinkedIn,WhatsApp,Email",20-25 hours,"arabic,english ",linkedin
82,"Product Design,Product Development",27,Egypt,MENo,Currently Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp",15-20 hours,english  ,linkedin
83,Product Growth,21,Egypt,MENo,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Email,LinkedIn",15-20 hours,"arabic,german ",linkedin
84,Product Design,23,Egypt,MENo,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Email,LinkedIn,WhatsApp",10-15 hours,arabic  ,linkedin
85,Product Growth,26,Egypt,MENo,Employed, No- I have not ,"WhatsApp,Email",15-20 hours,"english,arabic ",linkedin
86,"Product Design,Product Marketing",21,Egypt,MENo,University Student, Yes- I have completed multiple such courses ,"WhatsApp,LinkedIn,Email",10-15 hours,arabic  ,linkedin
87,"Product Marketing,Product Growth ",30,Egypt,MENo,Employed, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",20-25 hours,None  ,linkedin
88,"Product Marketing,Product Design",25,Egypt,MENo,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"WhatsApp,LinkedIn",15-20 hours,english  ,referral
89,"Product Marketing,Product Growth ",28,Egypt,MENo,Currently Unemployed, Yes- I have completed multiple such courses ,"WhatsApp,Email",10-15 hours,arabic  ,referral
90,Product Marketing,19,Egypt,MENo,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp",15-20 hours,english  ,linkedin
91,"Product Marketing,Product Development",22,Egypt,MENo,Recently Graduated and Unemployed, No- I have not ,"WhatsApp,LinkedIn",20-25 hours,no  ,linkedin
92,Product Marketing,21,Egypt,MENo,University Student, No- I have not ,"Email,WhatsApp,LinkedIn",10-15 hours,english  ,referral
93,Product Marketing,20,Egypt,MENo,University Student, Yes- I have completed multiple such courses ,WhatsApp,10-15 hours,english  ,linkedin
94,Product Marketing,22,Egypt,MENo,Recently Graduated and Unemployed, No- I have not ,Email,15-20 hours,arabic  ,linkedin
95,"Product Design,Product Development",29,Egypt,MENo,Employed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp,LinkedIn",15-20 hours,"english,arabic ",referral
96,"Product Growth ,Product Development,Product Design,Product Marketing",28,Egypt,MENo,Employed, Yes- I have completed multiple such courses ,Email,10-15 hours,None  ,referral
97,"Product Marketing,Product Growth ",30,Egypt,MENo,Employed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,LinkedIn",15-20 hours,arabic  ,linkedin
98,"Product Development,Product Growth ",22,Egypt,MENo,University Student, Yes- I have completed multiple such courses ,"WhatsApp,LinkedIn,Email",10-15 hours,"english,arabic ",linkedin
99,Product Development,20,Egypt,MENo,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"WhatsApp,Email",15-20 hours,english  ,linkedin
100,Product Development,22,Egypt,MENo,University Student, Yes- I have completed multiple such courses ,"Email,LinkedIn",10-15 hours,english  ,referral
101,Product Development,23,Egypt,MENo,Recently Graduated and Unemployed, No- I have not ,Email,10-15 hours,english  ,linkedin
102,Product Development,21,Egypt,MENo,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",10-15 hours,english  ,linkedin
103,Product Development,20,Egypt,MENo,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,Email,15-20 hours,english  ,linkedin
104,Product Development,21,Egypt,MENo,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp,LinkedIn",20-25 hours,english  ,linkedin
105,Product Development,21,Egypt,MENo,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",15-20 hours,arabic  ,referral
106,Product Development,22,Egypt,MENo,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp",15-20 hours,english  ,linkedin
107,"Product Development,Product Growth ",21,Egypt,MENo,University Student, Yes- I have completed multiple such courses ,"WhatsApp,LinkedIn,Email",10-15 hours,english  ,referral
108,Product Development,22,Egypt,MENo,University Student, No- I have not ,"WhatsApp,Email,LinkedIn",10-15 hours,english  ,linkedin
109,Product Development,21,Egypt,MENo,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp",15-20 hours,"no,english,french",linkedin
110,Product Development,22,Egypt,MENo,University Student, Yes- I have completed multiple such courses ,"WhatsApp,Email",10-15 hours,arabic  ,referral
111,Product Development,20,Egypt,MENo,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"WhatsApp,Email",15-20 hours,english  ,referral
112,Product Development,22,Egypt,MENo,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp",10-15 hours,english  ,referral
113,Product Development,20,Egypt,MENo,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"WhatsApp,LinkedIn,Instagram",10-15 hours,"arabic,english ",linkedin
114,Product Development,21,Egypt,MENo,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn,Instagram",15-20 hours,"arabic,english ",linkedin
115,Product Development,20,Egypt,MENo,University Student, Yes- I have completed multiple such courses ,"WhatsApp,Email,LinkedIn",15-20 hours,english  ,referral
